model,dataset,accuracy,balanced_accuracy,auc,precision,recall,f1
SVM,kotekar,0.6025641025641025,0.5708556149732621,0.5914104278074866,0.6101694915254238,0.8181818181818182,0.6990291262135923
RF,kotekar,0.532051282051282,0.5551470588235294,0.6065340909090909,0.6470588235294118,0.375,0.4748201438848921
