config,metric,mean,max,std
A,accuracy,0.5641025641025641,0.5641025641025641,0.0
A,balanced_accuracy,0.5,0.5,0.0
A,auc,0.4992814171122994,0.5491310160427808,0.031417967466321584
A,precision,0.5641025641025641,0.5641025641025641,0.0
A,recall,1.0,1.0,0.0
A,f1,0.7213114754098364,0.7213114754098361,3.387607712450221e-16
A,rmse,0.4052675920419459,0.4102889799885772,0.0021581949455947596
A,mae,0.3294635653495789,0.3381372690200805,0.004397827073589108
A,r2,-0.0088400801022847,6.604194641113281e-05,0.010772304980470762
B,accuracy,0.5162393162393162,0.5641025641025641,0.06047970490619199
B,balanced_accuracy,0.49339349376114083,0.5200534759358288,0.01664764857669947
B,auc,0.5314143270944742,0.5615808823529411,0.029226144693968538
B,precision,0.5537886701590168,0.6666666666666666,0.041624405027925124
B,recall,0.6715909090909091,1.0,0.41006230455433834
B,f1,0.5380339363281563,0.7213114754098361,0.2301604349064512
B,rmse,0.4070407509058213,0.4182212459088109,0.003563818279736703
B,mae,0.3330863445997238,0.3464511036872864,0.005804162978153914
B,r2,-0.017734827597935966,0.0013232827186584,0.017916163656568222
C,accuracy,0.5442307692307692,0.5897435897435898,0.02029546090937013
C,balanced_accuracy,0.5558043672014261,0.6129679144385026,0.02113502741983922
C,auc,0.590625,0.6151403743315508,0.014510038487003529
C,precision,0.6326761680632274,0.7307692307692307,0.032949878012664365
C,recall,0.465530303030303,0.625,0.05986972692878126
C,f1,0.5334933811430205,0.632183908045977,0.03677655839989954
C,rmse,0.3600145833736809,0.3680806356358113,0.004358250849352343
C,mae,0.28590545654296873,0.2942009568214416,0.00560413792421823
C,r2,0.20378862420717872,0.2469660639762878,0.0192314639097459
D,accuracy,0.5724358974358975,0.6282051282051282,0.01624736099928017
D,balanced_accuracy,0.5376336898395722,0.6336898395721926,0.05136237909884659
D,auc,0.5407141265597147,0.6719585561497325,0.09119796928553488
D,precision,0.6131103396020563,0.7954545454545454,0.06904018398878871
D,recall,0.8090909090909091,1.0,0.2588109635381294
D,f1,0.6636276109069741,0.7213114754098361,0.08178262405653305
D,rmse,0.39016900859424986,0.421722861514096,0.022885249247642937
D,mae,0.3139028380314509,0.3496436476707458,0.021191616609708388
D,r2,0.061845978101094566,0.2224841713905334,0.10816898168329343
E,accuracy,0.5920940170940171,0.6474358974358975,0.019738603677976866
E,balanced_accuracy,0.5991198752228164,0.6524064171122994,0.019511129793970825
E,auc,0.6575506907308378,0.6737967914438502,0.010884079431328495
E,precision,0.671103587906232,0.72,0.02158455354513523
E,recall,0.5443181818181818,0.6136363636363636,0.039291196095615495
E,f1,0.6002392001693657,0.6625766871165644,0.027043458908596166
E,rmse,0.36804279005072715,0.3879929176205253,0.009103566579908023
E,mae,0.2879505753517151,0.300193578004837,0.007017189074709571
E,r2,0.16750798424084978,0.2340582013130188,0.04135861081256133
F,accuracy,0.5743589743589743,0.6410256410256411,0.028199099106436972
F,balanced_accuracy,0.5922571301247772,0.6517379679144386,0.02826295561402659
F,auc,0.642279411764706,0.6986965240641712,0.024198956129839768
F,precision,0.688975572202076,0.7708333333333334,0.04313845521558264
F,recall,0.4526515151515152,0.5795454545454546,0.05871317456162321
F,f1,0.5436374310228506,0.6415094339622641,0.04272484688019845
F,rmse,0.3719569282479915,0.3951763318118844,0.012915486846934533
F,mae,0.2891722192366918,0.3054075539112091,0.008877119161269514
F,r2,0.14921886126200354,0.3033082485198974,0.05844587661389021
G,accuracy,0.5641025641025641,0.5641025641025641,
G,balanced_accuracy,0.5735294117647058,0.5735294117647058,
G,auc,0.6345,0.6345,
G,precision,0.6470588235294118,0.6470588235294118,
G,recall,0.5,0.5,
G,f1,0.5641025641025641,0.5641025641025641,
G,rmse,0.372491,0.372491,
G,mae,0.290672,0.290672,
G,r2,0.146832,0.146832,
