lag,f_stat,p_value,significant
1,0.6083983602276459,0.43556529270274347,No
2,0.316120542489553,0.7290403378696549,No
3,0.3288309672146478,0.8045187394317037,No
4,0.25755390004768525,0.9051073293328218,No
5,0.2791231863571522,0.924676062929484,No
