config,model,seed,run,dataset,accuracy,balanced_accuracy,auc,precision,recall,f1,rmse,mae,r2,val_accuracy
A,tkan,0,0,kaggle,0.5962264150943396,0.5,0.5248136756181238,0.5962264150943396,1.0,0.7470449172576832,0.7746579722955061,0.6004115343093872,-0.006949067115783691,0.49242424242424243
A,tkan,1,1,kaggle,0.5962264150943396,0.5,0.4655152017035372,0.5962264150943396,1.0,0.7470449172576832,0.7805257873771643,0.6066104769706726,-0.022261500358581543,0.49242424242424243
A,tkan,2,2,kaggle,0.5962264150943396,0.5,0.5034603099491305,0.5962264150943396,1.0,0.7470449172576832,0.7742488728195721,0.5999119877815247,-0.005885720252990723,0.49242424242424243
A,tkan,3,3,kaggle,0.5962264150943396,0.5,0.4955637051934225,0.5962264150943396,1.0,0.7470449172576832,0.7789953121587808,0.6050699353218079,-0.018256545066833496,0.49242424242424243
A,tkan,4,4,kaggle,0.5962264150943396,0.5,0.5423518277534602,0.5962264150943396,1.0,0.7470449172576832,0.7779475411893136,0.6039655804634094,-0.015519142150878906,0.49242424242424243
A,tkan,5,5,kaggle,0.5962264150943396,0.5,0.560126582278481,0.5962264150943396,1.0,0.7470449172576832,0.780413637706977,0.6065062880516052,-0.021967768669128418,0.49242424242424243
A,tkan,6,6,kaggle,0.5962264150943396,0.5,0.5231574588903348,0.5962264150943396,1.0,0.7470449172576832,0.7756811409673389,0.6016135811805725,-0.009610652923583984,0.49242424242424243
A,tkan,7,7,kaggle,0.5962264150943396,0.5,0.5074529752750503,0.5962264150943396,1.0,0.7470449172576832,0.7792556484092353,0.6053529381752014,-0.018937110900878906,0.49242424242424243
A,tkan,8,8,kaggle,0.5962264150943396,0.5,0.5067727434047085,0.5962264150943396,1.0,0.7470449172576832,0.7774126031947766,0.6034002304077148,-0.014122962951660156,0.49242424242424243
A,tkan,9,9,kaggle,0.5962264150943396,0.5,0.4698036200165622,0.5962264150943396,1.0,0.7470449172576832,0.7725942233870752,0.5980151891708374,-0.0015909671783447266,0.49242424242424243
A,tkan,10,10,kaggle,0.5962264150943396,0.5,0.43419496036909977,0.5962264150943396,1.0,0.7470449172576832,0.7789814628628513,0.6050410270690918,-0.018220186233520508,0.49242424242424243
A,tkan,11,11,kaggle,0.5962264150943396,0.5,0.5495682006388265,0.5962264150943396,1.0,0.7470449172576832,0.7765519216265994,0.6024667620658875,-0.0118788480758667,0.49242424242424243
A,tkan,12,12,kaggle,0.5962264150943396,0.5,0.539246421388856,0.5962264150943396,1.0,0.7470449172576832,0.782350147023836,0.6084941625595093,-0.027045845985412598,0.49242424242424243
A,tkan,13,13,kaggle,0.5962264150943396,0.5,0.4999704247012895,0.5962264150943396,1.0,0.7470449172576832,0.7787556693052887,0.6048153042793274,-0.01763010025024414,0.49242424242424243
A,tkan,14,14,kaggle,0.5962264150943396,0.5,0.572429906542056,0.5962264150943396,1.0,0.7470449172576832,0.7766472077558391,0.6026061177253723,-0.012127041816711426,0.49242424242424243
A,tkan,15,15,kaggle,0.5962264150943396,0.5,0.5191352182657045,0.5962264150943396,1.0,0.7470449172576832,0.777725011212603,0.6037395596504211,-0.01493823528289795,0.49242424242424243
A,tkan,16,16,kaggle,0.5962264150943396,0.5,0.47903111321424346,0.5962264150943396,1.0,0.7470449172576832,0.7770938567470864,0.6030527949333191,-0.013291597366333008,0.49242424242424243
A,tkan,17,17,kaggle,0.5962264150943396,0.5,0.5405181592334083,0.5962264150943396,1.0,0.7470449172576832,0.7720204868736045,0.5967049598693848,-0.00010395050048828125,0.49242424242424243
A,tkan,18,18,kaggle,0.5962264150943396,0.5,0.47610315864190234,0.5962264150943396,1.0,0.7470449172576832,0.7826392600724217,0.6088073253631592,-0.027805089950561523,0.49242424242424243
A,tkan,19,19,kaggle,0.5962264150943396,0.5,0.5074529752750503,0.5962264150943396,1.0,0.7470449172576832,0.7798035774133244,0.6059411764144897,-0.02037060260772705,0.49242424242424243
A,tkan,20,20,kaggle,0.5962264150943396,0.5,0.5310540636460428,0.5962264150943396,1.0,0.7470449172576832,0.7793162637464117,0.6054025292396545,-0.019095778465270996,0.49242424242424243
A,tkan,21,21,kaggle,0.5962264150943396,0.5,0.5498048030285106,0.5962264150943396,1.0,0.7470449172576832,0.7772482041724396,0.6032069325447083,-0.013694167137145996,0.49242424242424243
A,tkan,22,22,kaggle,0.5962264150943396,0.5,0.5075121258724713,0.5962264150943396,1.0,0.7470449172576832,0.7778408052436916,0.6038626432418823,-0.01524043083190918,0.49242424242424243
A,tkan,23,23,kaggle,0.5962264150943396,0.5,0.45791434993493435,0.5962264150943396,1.0,0.7470449172576832,0.7736557931816626,0.5992486476898193,-0.004345297813415527,0.49242424242424243
A,tkan,24,24,kaggle,0.5962264150943396,0.5,0.5701821838400568,0.5962264150943396,1.0,0.7470449172576832,0.7813608090972265,0.6074401140213013,-0.024449944496154785,0.49242424242424243
A,tkan,25,25,kaggle,0.5962264150943396,0.5,0.5405181592334083,0.5962264150943396,1.0,0.7470449172576832,0.7775262206338724,0.6035221219062805,-0.0144195556640625,0.49242424242424243
A,tkan,26,26,kaggle,0.5962264150943396,0.5,0.45664261209038204,0.5962264150943396,1.0,0.7470449172576832,0.7784741487761846,0.6045350432395935,-0.01689445972442627,0.49242424242424243
A,tkan,27,27,kaggle,0.5962264150943396,0.5,0.4501951969714895,0.5962264150943396,1.0,0.7470449172576832,0.7797124610223144,0.6058056354522705,-0.02013218402862549,0.49242424242424243
A,tkan,28,28,kaggle,0.5962264150943396,0.5,0.43963681533183485,0.5962264150943396,1.0,0.7470449172576832,0.7799617063463431,0.6060625910758972,-0.020784378051757812,0.49242424242424243
A,tkan,29,29,kaggle,0.5962264150943396,0.5,0.4753046255767184,0.5962264150943396,1.0,0.7470449172576832,0.7787128066707133,0.6048043966293335,-0.017518043518066406,0.49242424242424243
B,tkan,0,0,kaggle,0.5962264150943396,0.5,0.5734354666982135,0.5962264150943396,1.0,0.7470449172576832,0.7772612791546679,0.6035430431365967,-0.01372826099395752,0.49242424242424243
B,tkan,1,1,kaggle,0.5962264150943396,0.5,0.581923577428132,0.5962264150943396,1.0,0.7470449172576832,0.7786230936631833,0.6048995852470398,-0.01728367805480957,0.49242424242424243
B,tkan,2,2,kaggle,0.5962264150943396,0.5,0.5524665799124572,0.5962264150943396,1.0,0.7470449172576832,0.7796815768764167,0.6058118343353271,-0.02005136013031006,0.49242424242424243
B,tkan,3,3,kaggle,0.5962264150943396,0.5,0.5823967822075002,0.5962264150943396,1.0,0.7470449172576832,0.7763865726378012,0.602378249168396,-0.011447906494140625,0.49242424242424243
B,tkan,4,4,kaggle,0.5962264150943396,0.5,0.5747072045427659,0.5962264150943396,1.0,0.7470449172576832,0.7772746606536053,0.6033354997634888,-0.013763189315795898,0.49242424242424243
B,tkan,5,5,kaggle,0.5962264150943396,0.5,0.5885188690405774,0.5962264150943396,1.0,0.7470449172576832,0.7759931707057112,0.6020658612251282,-0.01042318344116211,0.49242424242424243
B,tkan,6,6,kaggle,0.5962264150943396,0.5,0.45599195551875077,0.5962264150943396,1.0,0.7470449172576832,0.7787829930035053,0.6048908829689026,-0.01770150661468506,0.49242424242424243
B,tkan,7,7,kaggle,0.5962264150943396,0.5,0.4881107299183722,0.5962264150943396,1.0,0.7470449172576832,0.7769635674957734,0.6030623912811279,-0.012951850891113281,0.49242424242424243
B,tkan,8,8,kaggle,0.5962264150943396,0.5,0.547823258014906,0.5962264150943396,1.0,0.7470449172576832,0.7802979963159312,0.6064578890800476,-0.021664977073669434,0.49242424242424243
