Date,Open,High,Low,Close,Volume,polarity_mean
2020-01-01,12202.15039,12222.2002,12165.2998,12182.5,304100.0,0.0
2020-01-02,12198.5498,12289.90039,12195.25,12282.2002,407700.0,0.0
2020-01-03,12261.09961,12265.59961,12191.34961,12226.65039,428800.0,0.0
2020-01-06,12170.59961,12179.09961,11974.2002,11993.0498,396500.0,0.0
2020-01-07,12079.09961,12152.15039,12005.34961,12052.9502,447800.0,0.0
2020-01-08,11939.09961,12044.9502,11929.59961,12025.34961,446000.0,0.0
2020-01-09,12153.15039,12224.0498,12132.5498,12215.90039,477500.0,0.0
2020-01-10,12271.0,12311.2002,12213.2002,12256.7998,660600.0,0.0
2020-01-13,12296.7002,12337.75,12285.7998,12329.5498,501000.0,0.0
2020-01-14,12333.09961,12374.25,12308.7002,12362.2998,616300.0,0.0
2020-01-15,12349.40039,12355.15039,12278.75,12343.2998,684400.0,0.0
2020-01-16,12347.09961,12389.0498,12315.7998,12355.5,395700.0,-0.8614118695259094
2020-01-17,12328.40039,12385.4502,12321.40039,12352.34961,502100.0,0.0
2020-01-20,12430.5,12430.5,12216.90039,12224.5498,491600.0,-0.8509735465049744
2020-01-21,12195.2998,12230.0498,12162.2998,12169.84961,400.0,0.0
2020-01-22,12218.34961,12225.0498,12087.90039,12106.90039,500.0,0.0
2020-01-23,12123.75,12189.0,12094.09961,12180.34961,867700.0,0.0
2020-01-24,12174.5498,12272.15039,12149.65039,12248.25,593200.0,0.0
2020-01-27,12197.09961,12216.59961,12107.0,12119.0,441200.0,0.0
2020-01-28,12148.09961,12163.5498,12024.5,12055.7998,478500.0,0.0
2020-01-29,12114.90039,12169.59961,12103.7998,12129.5,514400.0,0.0
2020-01-30,12147.75,12150.2998,12010.59961,12035.7998,538100.0,0.0
2020-01-31,12100.40039,12103.5498,11945.84961,11962.09961,771300.0,0.0
2020-02-03,11627.4502,11749.84961,11614.5,11707.90039,669800.0,0.0
2020-02-04,11786.25,11986.15039,11783.40039,11979.65039,560400.0,-0.0108897387981414
2020-02-05,12005.84961,12098.15039,11953.34961,12089.15039,758000.0,0.9296942949295044
2020-02-06,12120.0,12160.59961,12084.65039,12137.9502,565100.0,0.0
2020-02-07,12151.15039,12154.7002,12073.9502,12098.34961,473500.0,0.0
2020-02-10,12102.34961,12103.5498,11990.75,12031.5,524700.0,-0.9683669209480286
2020-02-11,12108.40039,12172.2998,12099.0,12107.90039,480000.0,0.0142171382904052
2020-02-12,12151.0,12231.75,12144.2998,12201.2002,411700.0,0.0
2020-02-13,12219.5498,12225.65039,12139.7998,12174.65039,501200.0,0.8996036648750305
2020-02-14,12190.15039,12246.7002,12091.2002,12113.4502,622800.0,0.0
2020-02-17,12131.7998,12159.59961,12037.0,12045.7998,0.0,0.0
2020-02-18,12028.25,12030.75,11908.0498,11992.5,676900.0,0.942403256893158
2020-02-19,12090.59961,12134.7002,12042.09961,12125.90039,513600.0,0.0
2020-02-20,12119.0,12152.0,12071.4502,12080.84961,502600.0,0.0
2020-02-24,12012.5498,12012.5498,11813.40039,11829.40039,490800.0,0.0
