Date,Close_d,Open_d,High_d,Low_d,Volume_d,RSI_14,MACD,BB_width,ROC_5,EMA_9,ATR_14,OBV,STOCH_K,WILLIAMS_R,CCI_20,Close,polarity_mean
2020-01-28,12128.942119871099,12179.583645918889,12211.800802353984,12100.981238071812,448585.1440273442,55.05950230806051,-9.00434273474275,0.034965428880116514,-0.01460344955986903,12181.789496187881,104.78997440928859,2118666.2341667153,11.67387887403764,-88.32612112596236,-51.23994793181592,12055.7998,0.0
2020-01-29,12117.376391332971,12144.364772376377,12180.98070352561,12083.482078034154,497186.1198668419,43.57425641074398,-14.204084634369792,0.035546533227923935,-0.30870398075286687,12168.9068752169,101.80176646086771,1621480.1142998734,9.923573115481767,-90.07642688451823,-62.933336168523496,12129.5,0.0
2020-01-30,12000.663046154943,12091.50754051643,12103.89367382316,11987.173223727941,603938.8792376829,27.939157914392226,-27.42655286469926,0.03846582500348473,-1.6718939234255048,12135.258109404509,104.48764103734668,1017541.2350621904,3.0808361746780704,-96.91916382532193,-123.51125381033194,12035.7998,0.0
2020-01-31,11887.373458475517,12008.862725316307,12018.242159192723,11873.110010896218,708918.3344162726,17.283819905942835,-46.51082923764807,0.044389124872925616,-2.324751142047843,12085.68117921871,108.51751153496232,308622.90064591786,2.584306273939456,-97.41569372606054,-175.00450965699892,11962.09961,0.0
2020-02-03,11869.008934663592,11829.077449542756,11936.620205687412,11762.125278026246,693672.2163477434,14.040489541788432,-62.39783593948414,0.04946607597394332,-2.0753338031482937,12042.346730307687,116.60088367384651,-385049.31570182554,16.12339608995108,-83.87660391004891,-193.55129536666416,11707.90039,0.0
2020-02-04,11914.644360685888,11720.35551490358,11911.671256466596,11726.679249297124,636474.8773419157,19.603731912300248,-70.49340166775437,0.05105738758954793,-1.7668297619635065,12016.806256383328,125.08634555794522,251425.5616400902,26.915357996404737,-73.08464200359526,-179.12229689024485,11979.65039,-0.0108897387981414
2020-02-05,12047.124650639342,11924.501180986214,12046.36080147462,11910.215323065684,620773.8673044845,31.223858490531413,-65.46450950224425,0.05118338634481484,-0.5797603245524141,12022.869935234532,128.75700241575552,872199.4289445747,45.88565735259597,-54.11434264740403,-88.38583573703396,12089.15039,0.9296942949295044
2020-02-06,12165.423327598071,12171.423481100146,12192.914313403535,12112.03812891029,600851.6948037812,40.39275753196207,-51.34152848125086,0.05112815186871791,1.3729264858904466,12051.38061370724,131.41920709665192,1473051.123748356,69.84286554628223,-30.157134453717767,-0.9135140970704746,12137.9502,0.0
2020-02-07,12106.299702561073,12160.267892122924,12164.778914309542,12078.84845068379,541740.5452568115,42.7328618383949,-44.407840750020114,0.050483066749385686,1.8416704484830015,12062.364431478007,128.7688862985329,931310.5784915445,70.4127476371764,-29.587252362823605,-19.92365141099348,12098.34961,0.0
2020-02-10,12025.702380991463,12087.996639453797,12106.609555295992,12002.18795144419,485519.08427894127,43.91324694069339,-44.89880802882544,0.04930351618496476,1.3201898085209551,12055.032021380697,126.9844955548359,445791.4942126032,59.445233120116235,-40.554766879883765,-53.84505835363159,12031.5,-0.9683669209480286
