date,polarity
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,-0.8614118695259094
2020-01-17,0.0
2020-01-20,-0.8509735465049744
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-03,0.0
2020-02-04,-0.0108897387981414
2020-02-05,0.9296942949295044
2020-02-06,0.0
2020-02-07,0.0
2020-02-10,-0.9683669209480286
2020-02-11,0.0142171382904052
2020-02-12,0.0
2020-02-13,0.8996036648750305
2020-02-14,0.0
2020-02-17,0.0
2020-02-18,0.942403256893158
2020-02-19,0.0
2020-02-20,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,-0.4559190329164267
2020-03-06,0.0
2020-03-09,0.0
2020-03-11,0.8657532334327698
2020-03-12,0.0
2020-03-13,0.0
2020-03-16,-0.2633475661277771
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,-0.9307566285133362
2020-03-30,0.0
2020-03-31,0.579375684261322
2020-04-01,0.1661654859781265
2020-04-03,-0.5186925530433655
2020-04-07,-0.9610879421234132
2020-04-08,0.0
2020-04-09,0.0
2020-04-13,-0.9219766855239868
2020-04-15,0.0
2020-04-16,-0.9084367752075196
2020-04-17,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0319985933601856
2020-04-24,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-04,0.0
2020-05-05,-0.9657201170921326
2020-05-06,-0.1721331179141998
2020-05-07,-0.9680020809173584
2020-05-08,-0.085805207490921
2020-05-11,0.9328299164772034
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.3012815515200296
2020-05-22,0.9230310916900636
2020-05-26,-0.9592094719409944
2020-05-27,0.7766340374946594
2020-05-28,0.0
2020-05-29,0.0
2020-06-01,0.3685793578624725
2020-06-02,0.0
2020-06-03,-0.3449737727642059
2020-06-04,0.9224146604537964
2020-06-05,-0.2144055068492889
2020-06-08,0.0
2020-06-09,-0.87932950258255
2020-06-10,0.7637144029140472
2020-06-11,0.0
2020-06-12,-0.9448205828666688
2020-06-15,-0.8035715619723002
2020-06-16,0.9323583543300628
2020-06-17,0.7802008986473083
2020-06-18,0.4505426334217191
2020-06-19,0.0
2020-06-22,0.7867375810941061
2020-06-23,0.783534586429596
2020-06-24,0.0
2020-06-25,0.8947118520736694
2020-06-26,0.0
2020-06-29,0.0
2020-06-30,-0.948939085006714
2020-07-01,0.0
2020-07-02,0.9333571195602416
2020-07-03,0.0
2020-07-06,0.4700676351785659
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-13,0.2479551434516906
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,-0.0145680606365203
