date,polarity_mean,polarity_max
2020-01-01,0.1656807462032151,-0.9630345106124878
2020-01-02,0.2014452746009518,-0.956835687160492
2020-01-03,0.0794835748041377,-0.9623504877090454
2020-01-06,-0.0206735130927678,-0.9598830342292786
2020-01-07,0.071455127661665,-0.964538037776947
2020-01-08,-0.1104718070796558,-0.965459644794464
2020-01-09,0.1107451899069142,-0.9640993475914
2020-01-10,0.1022710131550276,-0.9637539982795716
2020-01-13,0.0267554437915175,-0.9617663621902466
2020-01-14,0.0114397598399641,-0.959818422794342
2020-01-15,0.0448211921729903,-0.9617964029312134
2020-01-16,0.1877549370187089,-0.959143877029419
2020-01-17,0.0259756104888643,-0.964337170124054
2020-01-20,0.0176385889193538,-0.9665590524673462
2020-01-21,-0.0201962892839938,-0.9667007327079772
2020-01-22,0.1107774774199756,-0.9633061289787292
2020-01-23,0.1546969145038135,-0.966096580028534
2020-01-24,0.1010445764371354,-0.9664618372917176
2020-01-27,-0.0250617848785474,-0.9652249217033386
2020-01-28,0.0425289995303958,-0.9659177660942078
2020-01-29,0.1345693709910847,-0.9676957726478576
2020-01-30,0.0782024620451254,-0.966849684715271
2020-01-31,0.0613453373950612,-0.964024305343628
2020-02-03,-0.0333520285547918,-0.9677393436431884
2020-02-04,0.1189719948230222,-0.9552831053733826
2020-02-05,0.1175790761306058,-0.9617842435836792
2020-02-06,0.1476921771749921,-0.9662051796913148
2020-02-07,0.062972965122728,-0.962122082710266
2020-02-10,-0.0794563675299287,-0.9668447375297546
2020-02-11,0.15319879523168,-0.9668828845024108
2020-02-12,0.1098174596724064,-0.9669976830482484
2020-02-13,0.0483804293815663,-0.967754364013672
2020-02-14,0.058675642971319,-0.960040271282196
2020-02-17,-0.0128871383486499,-0.9675220847129822
2020-02-18,0.0095791728954587,-0.9661576747894288
2020-02-19,0.0817982645498381,-0.954351246356964
2020-02-20,0.014873454408524,-0.9631016254425048
2020-02-24,-0.002125920540413,-0.9633756279945374
2020-02-25,-0.0206599904269707,-0.9631540775299072
2020-02-26,-0.0416280209327375,-0.9666191935539246
2020-02-27,-0.0512795166228898,-0.9648448824882508
2020-02-28,-0.165052797208179,-0.9630820155143738
2020-03-02,-0.0458904851864023,-0.9574899673461914
2020-03-03,0.0051638805371236,-0.9516136646270752
2020-03-04,-0.0949283888344379,-0.9623743295669556
2020-03-05,-0.0487126694428489,-0.9655708074569702
2020-03-06,-0.1954613524517326,-0.9613454937934875
2020-03-09,-0.1847038309272263,-0.963212251663208
2020-03-11,-0.0127164370136424,-0.962895929813385
2020-03-12,-0.2130412485596187,-0.9610331654548644
2020-03-13,-0.0664984092793681,-0.9658977389335632
2020-03-16,-0.1792374838712728,-0.9651086926460266
2020-03-17,-0.197296771598426,-0.9654603600502014
2020-03-18,-0.1735918756640521,-0.9671112895011902
2020-03-19,-0.2009246967278602,-0.9678221940994264
2020-03-20,-0.1404608688591157,-0.9622752666473388
2020-03-23,-0.2503935429437535,-0.962459683418274
2020-03-24,-0.0580029125124508,-0.9639664888381958
2020-03-25,-0.0665050107054412,-0.9641754627227784
2020-03-26,-0.0377492193173576,-0.9628735780715942
2020-03-27,0.0131938698223313,-0.9670066237449646
2020-03-30,-0.181852967551585,-0.9639824032783508
2020-03-31,-0.108540588904215,-0.9612072110176086
2020-04-01,-0.190586161394806,-0.9672411680221558
2020-04-03,-0.2178115950046498,-0.9665234684944152
2020-04-07,-0.0173457632190548,-0.9650622606277466
2020-04-08,-0.0525880718583261,-0.9651864767074584
2020-04-09,-0.0542902866406227,-0.9676806926727296
2020-04-13,-0.1110832411130624,-0.9655225872993468
2020-04-15,-0.036157423341179,-0.9651036858558656
2020-04-16,-0.0903866095186183,-0.9659450650215148
2020-04-17,0.0472185485788926,-0.965201199054718
2020-04-20,-0.0440793682404972,-0.9679319262504578
2020-04-21,-0.2010814217108536,-0.9671106338500975
2020-04-22,-0.0698772310175829,-0.9614653587341307
2020-04-23,-0.0046508822693593,-0.9667105674743652
2020-04-24,-0.0993817429410515,-0.9644068479537964
2020-04-27,-0.016265716869384,-0.9643286466598512
2020-04-28,0.0061291639826127,-0.9659733772277832
2020-04-29,-0.0061376307571503,-0.9663880467414856
2020-04-30,0.0368949376866904,-0.9674708247184752
2020-05-04,-0.1020695280416735,-0.9679216146469116
2020-05-05,-0.0767496796223618,-0.9666011333465576
2020-05-06,-0.0854949011585452,-0.962468445301056
2020-05-07,-0.0724778466156862,-0.9641032218933104
2020-05-08,-0.0161954077581564,-0.9631291031837464
2020-05-11,-0.1699334161474983,-0.9614325165748596
2020-05-12,-0.0271621076452652,-0.9658475518226624
2020-05-13,0.0233391294926404,-0.967762053012848
2020-05-14,-0.0261485815371416,-0.964072048664093
2020-05-15,-0.0183570973069673,-0.9657819867134094
2020-05-18,-0.0040209112274978,-0.9651370048522948
2020-05-19,-0.0442170777811586,-0.9663004875183104
2020-05-20,0.0137917143472814,-0.9602296352386476
2020-05-21,0.0402588938973073,-0.9646377563476562
2020-05-22,-0.087994094478426,-0.9636874794960022
2020-05-26,-0.0323448718014744,-0.9655542969703674
2020-05-27,0.0141720543076333,-0.9638007879257202
2020-05-28,0.0086455560124972,-0.9643970131874084
