model,dataset,accuracy,balanced_accuracy,auc,precision,recall,f1
SVM,kaggle,0.5660377358490566,0.575742339997634,0.616585827516858,0.6747967479674797,0.5253164556962026,0.5907473309608541
RF,kaggle,0.6150943396226415,0.6304566426120903,0.6773039157695493,0.7372881355932204,0.5506329113924051,0.6304347826086957
