Date,Open,High,Low,Close,Volume,polarity_mean,polarity_max
2017-01-02,8210.099609,8212.0,8133.799805,8179.5,118300.0,0.0,0.0
2017-01-03,8196.049805,8219.099609,8148.600098,8192.25,127300.0,0.0,0.0
2017-01-04,8202.650391,8218.5,8180.899902,8190.5,132400.0,0.0,0.0
2017-01-05,8226.650391,8282.650391,8223.700195,8273.799805,159100.0,0.0,0.0
2017-01-06,8281.849609,8306.849609,8233.25,8243.799805,139400.0,0.0,0.0
2017-01-09,8259.349609,8263.0,8227.75,8236.049805,99100.0,0.0,0.0
2017-01-10,8262.700195,8293.799805,8261.0,8288.599609,142900.0,0.0,0.0
2017-01-11,8327.799805,8389.0,8322.25,8380.650391,186500.0,0.0,0.0
2017-01-12,8391.049805,8417.200195,8382.299805,8407.200195,172600.0,0.0,0.0
2017-01-13,8457.650391,8461.049805,8373.150391,8400.349609,185300.0,0.0,0.0
2017-01-16,8390.950195,8426.700195,8374.400391,8412.799805,124100.0,0.0,0.0
2017-01-17,8415.049805,8440.900391,8378.299805,8398.0,122000.0,0.0,0.0
2017-01-18,8403.849609,8460.299805,8397.400391,8417.0,163800.0,0.0,0.0
2017-01-19,8418.400391,8445.150391,8404.049805,8435.099609,165900.0,0.0,0.0
2017-01-20,8404.349609,8423.650391,8340.950195,8349.349609,202600.0,0.0,0.0
2017-01-23,8329.599609,8404.150391,8327.200195,8391.5,195000.0,0.0,0.0
2017-01-24,8407.049805,8480.950195,8398.150391,8475.799805,179200.0,0.0,0.0
2017-01-25,8499.450195,8612.599609,8493.950195,8602.75,292500.0,0.0,0.0
2017-01-27,8610.5,8672.700195,8606.900391,8641.25,275400.0,0.0,0.0
2017-01-30,8635.549805,8662.599609,8617.75,8632.75,304700.0,0.0,0.0
2017-01-31,8629.450195,8631.75,8552.400391,8561.299805,521000.0,0.0,0.0
2017-02-01,8570.349609,8722.400391,8537.5,8716.400391,327700.0,0.0,0.0
2017-02-02,8724.75,8757.599609,8685.799805,8734.25,283500.0,0.0,0.0
2017-02-03,8735.150391,8748.25,8707.75,8740.950195,191000.0,0.0,0.0
2017-02-06,8785.450195,8814.099609,8770.200195,8801.049805,194400.0,0.0,0.0
2017-02-07,8805.700195,8809.299805,8741.049805,8768.299805,226300.0,0.0,0.0
2017-02-08,8774.549805,8791.25,8715.0,8769.049805,218700.0,0.0,0.0
2017-02-09,8795.549805,8821.400391,8724.099609,8778.400391,187500.0,0.0,0.0
2017-02-10,8812.349609,8822.099609,8771.200195,8793.549805,225900.0,0.0,0.0
2017-02-13,8819.799805,8826.900391,8754.200195,8805.049805,204900.0,0.0,0.0
2017-02-14,8819.900391,8820.450195,8772.5,8792.299805,188300.0,0.0,0.0
2017-02-15,8778.950195,8807.900391,8712.849609,8724.700195,216100.0,0.0,0.0
2017-02-16,8739.0,8783.950195,8719.599609,8778.0,184600.0,0.0,0.0
2017-02-17,8883.700195,8896.450195,8804.25,8821.700195,298300.0,0.0,0.0
2017-02-20,8818.549805,8886.25,8809.799805,8879.200195,167800.0,0.0,0.0
2017-02-21,8890.75,8920.799805,8860.950195,8907.849609,175700.0,0.0,0.0
2017-02-22,8931.599609,8960.75,8905.25,8926.900391,247100.0,0.0,0.0
2017-02-23,8956.400391,8982.150391,8927.549805,8939.5,377200.0,0.0,0.0
2017-02-27,8943.700195,8951.799805,8888.650391,8896.700195,189900.0,0.0,0.0
2017-02-28,8898.950195,8914.75,8867.599609,8879.599609,293600.0,0.0,0.0
2017-03-01,8904.400391,8960.799805,8898.599609,8945.799805,205900.0,0.0,0.0
2017-03-02,8982.849609,8992.5,8879.799805,8899.75,218800.0,0.0,0.0
2017-03-03,8883.5,8907.099609,8860.099609,8897.549805,202600.0,0.0,0.0
2017-03-06,8915.099609,8967.799805,8914.0,8963.450195,174800.0,0.0,0.0
