Date,Close_d,Open_d,High_d,Low_d,Volume_d,RSI_14,MACD,BB_width,ROC_5,EMA_9,ATR_14,OBV,STOCH_K,WILLIAMS_R,CCI_20,Close,polarity_mean,polarity_max
2017-01-30,8629.582188356211,8624.477531349303,8672.08732300061,8592.507413484644,376750.285956016,80.3726973555206,96.76938877168686,0.06541937710726724,3.17958617107561,8507.551366379019,74.74416367348893,1345989.0342677252,87.89856143379605,-12.101438566203953,165.52005291627674,8632.75,0.0,0.0
2017-01-31,8595.883854951993,8599.864623214224,8645.193829583804,8541.178388609787,453489.2036138045,75.1538167951962,99.27330038769833,0.0652799435154157,2.265248278299037,8525.217864093614,79.67152301153276,892499.8306539208,76.44378230456158,-23.556217695438416,131.6420153632664,8561.299805,0.0,0.0
2017-02-01,8662.41408454112,8632.904310324006,8692.721648458999,8583.247246529532,371004.5373540424,75.1340172454705,105.41098962230717,0.06669589006045147,2.150052314289752,8552.657108183117,82.0015928872929,1263504.368007963,91.31247765576346,-8.687522344236543,146.97564821241204,8716.400391,0.0,0.0
2017-02-02,8745.477314115611,8684.038746212434,8753.71191224026,8652.952008972381,250496.40625142385,75.96810640395466,115.64458224086593,0.0706279820938121,1.9637562744479364,8591.221149369616,82.98345426591693,1514000.7742593868,97.99084309377132,-2.009156906228678,160.30344574467847,8734.25,0.0,0.0
2017-02-03,8772.65672069132,8742.694828995278,8782.225471377198,8718.557547789993,210280.6479320426,77.43875817708717,124.51262504787519,0.07396651837693376,1.3735029015220057,8627.508263633958,82.81824964716829,1724281.4221914294,97.81718256060408,-2.1828174393959205,151.6368866303795,8740.950195,0.0,0.0
2017-02-06,8778.10843597432,8792.031807416557,8797.70305453756,8765.357816410513,202193.42923166524,80.09759432950314,130.47646920645093,0.07582011073427947,1.7211290694758574,8657.62829810203,80.39124435929845,1926474.8514230947,95.68252645210418,-4.317473547895816,138.5991402020222,8801.049805,0.0,0.0
2017-02-07,8772.368996088277,8793.453912359179,8801.608411089634,8744.245138227414,204221.45557250074,78.63223673476364,133.20423829469473,0.07584795508246624,2.053135478728141,8680.576437699281,80.21180604416324,1722253.395850594,93.61236030119193,-6.387639698808066,118.32656855540095,8768.299805,0.0,0.0
2017-02-08,8764.877054162127,8781.749776171944,8801.306927164445,8710.338727461056,214996.3644533677,77.02825681589418,133.22573451166318,0.074707010627646,1.1828454357066809,8697.436560991851,82.85087883438844,1507257.0313972263,91.97567141167698,-8.024328588323016,100.67446504848685,8769.049805,0.0,0.0
2017-02-09,8783.025417325613,8796.783461648882,8814.580797039604,8732.557837943286,216563.91825186354,82.92423102767734,133.17206696236644,0.07499537580393655,0.4293430977105883,8714.554332258604,84.65365591499202,1723820.9496490897,93.29639153379415,-6.703608466205847,98.57641282003699,8778.400391,0.0,0.0
2017-02-10,8801.336928854878,8813.392884730469,8826.896505385006,8762.98888525227,211882.47876978872,87.73319382766414,133.07313670286203,0.07639350342659502,0.3269272818565039,8731.910851577859,84.51838575281765,1935703.4284188785,94.70857856341136,-5.291421436588642,97.79026423303866,8793.549805,0.0,0.0
