lag,f_stat,p_value,significant
1,0.9698499497937212,0.3248507702883311,No
2,0.45523454818558334,0.6343727569411738,No
3,0.8586578612525454,0.4619181810376497,No
4,0.9599631480940835,0.4283920836474644,No
5,0.7838760730306418,0.5612279917874912,No
